VAR1,VAR2,VAR3,VAR4,TRAITEMENT,CIBLE
0.778868,C,0.413813,0.822123,T0,0
0.703032,B,0.189601,0.387515,T0,0
0.303425,C,0.746430,0.585057,T0,0
0.801435,C,0.783945,0.818520,T0,0
0.420566,B,0.904629,0.569273,T0,0
0.775520,C,0.149121,0.877859,T0,0
0.530850,B,,0.316249,T0,0
0.351595,C,0.764752,0.904487,T0,0
0.627923,C,0.702793,0.094121,T0,0
0.253450,C,0.296323,0.874815,T0,0
0.593837,A,0.273425,0.052078,T0,0
0.973645,C,0.820265,0.453165,T0,0
0.238280,C,0.064609,0.716670,T0,0
0.287526,C,0.136064,0.043256,T0,0
0.150254,B,0.392427,0.830456,T0,0
0.931130,B,0.783957,0.864390,T0,0
0.093198,A,0.221699,0.712239,T0,1
0.402667,A,0.491367,0.035544,T0,1
0.469176,C,0.818317,0.873845,T0,0
0.411921,B,0.228832,0.175543,T0,0
0.073107,C,0.257836,0.670036,T0,0
0.367164,B,0.714547,0.485773,T0,0
0.680479,C,0.571918,0.678234,T0,0
0.325519,C,0.425478,0.741909,T0,0
0.643209,C,0.612449,0.634786,T0,0
0.494121,C,0.749707,0.876940,T0,0
0.408013,B,0.985701,0.344440,T0,0
0.441681,A,0.806008,0.896143,T0,0
0.056910,A,0.807535,0.874356,T0,0
0.850278,C,0.006010,0.180762,T0,0
0.376008,B,0.735459,0.027465,T0,0
0.337164,B,0.723817,0.823640,T0,0
0.744115,B,0.821098,0.621854,T0,0
0.583610,C,0.391608,0.295379,T0,0
0.950538,C,0.862383,0.042821,T0,0
0.883348,A,0.612316,0.888380,T0,0
0.061987,B,0.654819,0.919723,T0,0
0.613595,B,0.500195,0.685609,T0,0
0.854693,A,0.807616,0.706675,T0,0
0.285378,A,0.666593,0.240537,T0,1
0.319174,A,,0.037971,T0,1
0.067640,C,0.809097,0.133874,T0,0
0.871270,C,0.777893,0.467531,T0,0
0.188021,A,0.719479,0.663806,T0,1
0.693205,B,0.311469,0.774565,T0,0
0.968753,B,0.515553,0.865153,T0,0
0.753895,B,,0.707001,T0,0
0.938718,C,0.754780,0.177533,T0,0
0.707362,A,0.320177,0.675295,T0,0
0.499164,B,0.858387,0.259930,T0,0
0.071923,A,0.066564,0.599536,T0,1
0.805021,A,0.842297,0.140080,T0,0
0.043673,A,0.161064,0.220979,T0,1
0.417709,C,0.423596,0.045495,T0,0
0.926172,A,0.544790,0.882123,T0,0
0.387819,B,0.064013,0.347972,T0,0
0.530111,C,0.191490,0.028958,T0,0
0.689330,A,0.435341,0.184005,T0,0
0.151168,B,0.193041,0.325613,T0,0
0.479537,B,0.872116,0.791347,T0,0
0.286735,A,0.224262,0.790481,T0,1
0.920862,C,0.699632,0.612968,T0,0
0.753712,B,0.972140,0.925886,T0,0
0.426584,C,0.218792,0.256005,T0,0
0.817154,C,0.658277,0.554961,T0,0
0.395404,A,0.084147,0.960022,T0,1
0.623531,A,0.179854,0.451174,T0,0
0.305306,A,0.814178,0.238429,T0,0
0.508745,B,0.007665,0.512898,T0,0
0.268449,B,0.072753,0.581557,T0,0
0.276239,C,0.162780,0.558999,T0,0
0.766200,C,0.035788,0.900848,T0,0
0.469918,B,0.153099,0.513425,T0,0
0.593453,C,0.465638,0.774477,T0,0
0.683037,B,0.840896,0.827695,T0,0
0.230045,B,0.902582,0.107062,T0,0
0.719462,C,0.331614,0.102257,T0,0
0.601595,C,0.260316,0.333795,T0,0
0.561356,A,0.870349,0.166422,T0,0
0.183584,A,0.151614,0.145618,T0,1
0.500879,A,0.324504,0.315886,T0,0
0.176173,B,0.904428,0.650049,T0,0
0.249084,B,0.076400,0.673719,T0,0
0.666213,C,0.860625,0.795985,T0,0
0.675141,B,0.241838,0.440140,T0,0
0.268508,C,0.230649,0.415713,T0,0
0.722419,B,0.352961,0.443495,T0,0
0.594275,B,0.292400,0.164061,T0,0
0.466250,C,0.195316,0.267870,T0,0
0.752542,A,0.409013,0.084100,T0,0
0.018402,A,0.335494,0.001694,T0,1
0.886168,B,0.469738,0.692911,T0,0
0.287279,A,0.688144,0.701477,T0,1
0.072062,C,,0.109094,T0,0
0.230379,A,0.119186,0.413564,T0,1
0.878602,B,0.105566,0.368906,T0,0
0.825309,B,,0.447206,T0,0
0.712118,C,0.477115,0.404802,T0,0
0.422513,A,,0.976636,T0,1
0.384407,B,0.402162,0.614477,T0,0
0.310972,B,0.970935,0.486513,T0,0
0.573150,C,0.568659,0.323001,T0,0
0.385190,A,,0.884655,T0,1
0.004178,C,0.062170,0.519826,T0,0
0.632746,C,0.713989,0.751667,T0,0
0.350787,C,0.245834,0.365496,T0,0
0.277055,B,0.981401,0.157789,T0,0
0.811213,C,0.180875,0.799331,T0,0
0.801678,A,0.126258,0.361425,T0,0
0.170366,A,0.039930,0.878637,T0,1
0.278694,C,0.231575,0.199067,T0,0
0.615167,A,0.664831,0.768081,T0,0
0.598188,A,0.040015,0.683203,T0,0
0.148526,B,0.015908,0.044183,T0,0
0.536374,A,0.221513,0.798168,T0,0
0.410070,B,0.967640,0.132071,T0,0
0.105859,C,0.461857,0.665467,T0,0
0.400238,A,0.426080,0.867525,T0,1
0.813628,C,0.771799,0.946562,T0,0
0.069219,C,0.401949,0.957110,T0,0
0.593340,B,0.754645,0.901691,T0,0
0.104864,B,0.343390,0.605499,T0,0
0.860737,C,0.256849,0.949918,T0,0
0.431197,A,0.959109,0.189551,T0,0
0.278306,C,0.684870,0.205687,T0,0
0.093046,C,0.084484,0.821400,T0,0
0.604815,C,0.144742,0.185210,T0,0
0.752121,C,0.349107,0.787010,T0,0
0.123116,C,0.436721,0.650934,T0,0
0.145152,A,0.080518,0.700695,T0,1
0.347084,C,,0.291772,T0,0
0.658842,B,0.277487,0.571681,T0,0
0.935220,B,0.316355,0.828538,T0,0
0.407087,C,0.278410,0.217324,T0,0
0.094542,A,0.401079,0.481313,T0,1
0.298272,B,0.928672,0.000991,T0,0
0.936502,C,0.083659,0.619318,T0,0
0.849035,C,0.233790,0.362917,T0,0
0.718678,B,0.213980,0.951403,T0,0
0.887068,B,0.117340,0.315468,T0,0
0.494150,C,0.022783,0.241559,T0,0
0.934029,B,0.055527,0.740558,T0,0
0.124602,C,,0.066274,T0,0
0.918332,C,0.216938,0.061727,T0,0
0.928878,A,0.778575,0.286428,T0,0
0.323844,C,0.800118,0.400548,T0,0
0.826963,A,0.399539,0.501931,T0,0
0.869488,A,,0.870355,T0,0
0.327568,B,0.709811,0.550369,T0,0
0.450291,B,0.163089,0.865907,T0,0
0.061686,A,0.776953,0.075897,T0,1
0.128991,B,0.160221,0.963549,T0,0
0.934508,C,0.575721,0.397267,T0,0
0.351594,B,0.884910,0.084890,T0,0
0.110888,B,0.071649,0.945593,T0,0
0.633548,C,0.577015,0.996691,T0,0
0.950469,C,0.519703,0.747330,T0,0
0.537364,C,,0.066506,T0,0
0.182968,B,,0.033548,T0,0
0.267493,B,0.410042,0.652723,T0,0
0.950540,A,0.426803,0.454965,T0,0
0.707803,A,0.345600,0.349369,T0,0
0.859942,C,0.625520,0.366180,T0,0
0.329121,B,0.077458,0.092867,T0,0
0.756894,A,0.859070,0.665290,T0,0
0.318258,C,0.161579,0.268427,T0,0
0.143239,C,0.006999,0.454990,T0,0
0.673032,C,0.098023,0.437799,T0,0
0.562012,C,0.760506,0.403356,T0,0
0.962357,B,0.631068,0.006807,T0,0
0.198018,C,0.366099,0.218236,T0,0
0.328744,A,0.205423,0.072909,T0,1
0.766332,C,,0.285204,T0,0
0.325942,A,0.160157,0.619391,T0,1
0.180459,C,0.099001,0.853991,T0,0
0.522368,B,0.688067,0.478235,T0,0
0.628238,A,0.275240,0.596288,T0,0
0.567137,B,0.229754,0.933804,T0,0
0.647910,A,0.912756,0.592360,T0,0
0.425634,B,0.792577,0.023117,T0,0
0.366304,B,,0.653103,T0,0
0.787056,B,0.321181,0.833584,T0,0
0.784622,B,0.431411,0.716469,T0,0
0.467384,C,0.087402,0.626584,T0,0
0.130173,B,0.959640,0.041984,T0,0
0.066146,A,0.151509,0.983700,T0,1
0.347645,C,0.456211,0.242453,T0,0
0.026521,A,0.124024,0.955957,T0,1
0.481999,B,0.142731,0.250604,T0,0
0.573019,A,0.741284,0.021246,T0,0
0.628987,C,0.467818,0.604193,T0,0
0.541847,B,0.612086,0.998547,T0,0
0.061544,A,0.878000,0.390018,T0,0
0.902554,B,0.219322,0.259525,T0,0
0.513444,B,0.731736,0.808632,T0,0
0.828893,B,0.464263,0.938745,T0,0
0.216191,A,0.673232,0.683590,T0,1
0.503506,A,0.210399,0.508149,T0,0
0.340638,B,0.164000,0.889923,T0,0
0.183625,C,0.582588,0.683673,T0,0
0.734946,A,0.870821,0.301089,T0,0
0.896209,B,0.810498,0.903634,T0,0
0.676725,C,0.702726,0.253526,T0,0
0.620127,A,0.331892,0.099783,T0,0
0.281218,C,0.050044,0.264261,T0,0
0.778869,C,0.444205,0.839240,T0,0
0.003915,C,0.571176,0.710187,T0,0
0.830875,B,0.229509,0.008860,T0,0
0.334477,B,0.298457,0.498966,T0,0
0.418320,B,,0.330808,T0,0
0.709503,B,0.860049,0.762826,T0,0
0.746941,C,0.395120,0.868896,T0,0
0.259779,C,0.413912,0.383404,T0,0
0.585895,A,0.807563,0.092462,T0,0
0.386967,B,0.731357,0.005007,T0,0
0.057436,B,0.156102,0.649542,T0,0
0.925746,A,,0.238813,T0,0
0.219188,B,0.078524,0.259297,T0,0
0.614575,C,,0.475976,T0,0
0.256217,A,0.779229,0.142963,T0,1
0.678501,C,0.743007,0.173338,T0,0
0.412343,A,0.020272,0.454796,T0,1
0.133246,C,0.084370,0.610912,T0,0
0.136537,B,0.523042,0.919690,T0,0
0.304608,B,0.842158,0.781707,T0,0
0.915204,A,0.271735,0.892538,T0,0
0.797160,A,,0.076168,T0,0
0.335650,B,0.158429,0.070032,T0,0
0.735112,C,0.277353,0.746711,T0,0
0.747647,B,0.659682,0.892790,T0,0
0.427953,A,0.387466,0.533146,T0,1
0.484820,A,0.591964,0.880479,T0,1
0.671919,A,,0.146215,T0,0
0.179804,A,0.092399,0.932874,T0,1
0.082536,B,0.980052,0.185480,T0,0
0.891799,B,0.506289,0.897212,T0,0
0.890913,A,0.559162,0.499510,T0,0
0.622021,C,0.996991,0.800754,T0,0
0.703576,C,0.185543,0.988904,T0,0
0.915280,C,0.122452,0.028454,T0,0
0.839297,B,0.339760,0.537677,T0,0
0.511233,A,0.639706,0.639019,T0,0
0.732347,C,0.221876,0.965516,T0,0
0.014451,C,0.442490,0.959356,T0,0
0.566789,C,0.502958,0.230783,T0,0
0.333595,C,0.646933,0.560901,T0,0
0.922922,B,0.889813,0.584841,T0,0
0.089817,A,0.424410,0.285054,T0,1
0.327705,C,0.058435,0.506616,T0,0
0.031416,C,0.555025,0.442143,T0,0
0.993510,B,0.918735,0.862211,T0,0
0.742765,C,0.541117,0.642093,T0,0
0.989216,C,0.100331,0.388339,T0,0
0.446260,A,0.074054,0.985852,T0,1
0.044898,C,0.571625,0.798477,T0,0
0.623506,A,,0.004439,T0,0
0.430901,A,0.731392,0.536852,T0,1
0.370200,A,0.760799,0.207038,T0,1
0.780474,B,0.300214,0.464003,T0,0
0.567162,B,0.627618,0.046401,T0,0
0.143527,A,0.088812,0.802867,T0,1
0.053827,C,0.221261,0.222689,T0,0
0.918248,A,0.289144,0.212997,T0,0
0.650317,A,0.752650,0.709880,T0,0
0.291026,C,0.114717,0.675326,T0,0
0.899909,B,0.686085,0.433067,T0,0
0.507915,B,0.630028,0.840192,T0,0
0.422030,B,0.415427,0.307342,T0,0
0.507513,C,0.542297,0.275839,T0,0
0.467857,C,0.455832,0.771010,T0,0
0.429671,A,0.977816,0.712400,T0,0
0.282587,B,0.014943,0.615435,T0,0
0.908372,A,0.328925,0.498468,T0,0
0.232341,C,0.781494,0.831898,T0,0
0.437971,B,0.890865,0.809178,T0,0
0.017337,B,0.051567,0.055233,T0,0
0.728620,A,0.990953,0.543831,T0,0
0.930838,A,0.176540,0.968610,T0,0
0.113511,B,0.458865,0.252127,T0,0
0.781332,C,0.049833,0.281576,T0,0
0.189795,A,0.155473,0.630889,T0,1
0.965549,C,,0.547796,T0,0
0.663965,B,0.841361,0.130046,T0,0
0.038851,C,0.546180,0.284291,T0,0
0.802965,C,0.088330,0.230839,T0,0
0.293324,C,0.125264,0.156098,T0,0
0.463352,A,0.623311,0.082560,T0,1
0.800236,B,0.528042,0.874865,T0,0
0.458641,C,0.929788,0.064816,T0,0
0.670909,C,0.312038,0.726316,T0,0
0.199327,C,0.653778,0.306341,T0,0
0.714670,B,0.832604,0.543379,T0,0
0.102321,A,0.283052,0.237716,T0,1
0.085497,C,0.348045,0.878962,T0,0
0.046699,B,0.355432,0.038227,T0,0
0.050837,A,0.336614,0.299066,T0,1
0.673243,A,0.108634,0.961104,T0,0
0.670018,B,0.793420,0.534987,T0,0
0.598980,C,,0.880384,T0,0
0.834859,B,0.539276,0.471987,T0,0
0.785646,B,0.295903,0.471579,T0,0
0.759365,C,0.110864,0.879569,T0,0
0.231864,A,0.656136,0.988021,T0,1
0.048559,A,0.353070,0.447224,T0,1
0.063852,B,0.223105,0.340339,T0,0
0.621004,A,0.642771,0.780967,T0,0
0.167282,A,0.359601,0.625480,T0,1
0.563637,A,0.558325,0.446834,T0,0
0.312250,B,,0.289271,T0,0
0.027803,C,0.513998,0.649352,T0,0
0.646344,C,0.396262,0.249339,T0,0
0.644775,B,0.736725,0.898849,T0,0
0.900881,B,0.924969,0.087898,T0,0
0.747514,C,0.733013,0.886957,T0,0
0.512899,B,0.542407,0.767141,T0,0
0.421499,B,0.283314,0.969392,T0,0
0.293764,C,0.908241,0.716896,T0,0
0.133413,A,0.519456,0.235596,T0,1
0.442731,B,0.417944,0.098462,T0,0
0.410159,A,0.725522,0.795284,T0,1
0.161110,A,0.695121,0.178140,T0,1
0.846126,B,0.660932,0.484708,T0,0
0.503709,C,0.776780,0.397957,T0,0
0.802373,B,0.609537,0.765502,T0,0
0.442340,B,0.096251,0.390743,T0,0
0.682111,C,0.199664,0.639828,T0,0
0.899590,B,0.805056,0.926689,T0,0
0.705199,B,0.398340,0.375696,T0,0
0.992397,C,0.904886,0.285022,T0,0
0.316004,C,0.461292,0.147099,T0,0
0.263734,B,0.542824,0.893722,T0,0
0.756986,B,0.405792,0.456456,T0,0
0.742756,C,0.365280,0.106956,T0,0
0.386469,A,0.074155,0.446635,T0,1
0.547228,B,0.862109,0.279069,T0,0
0.213881,C,0.473017,0.555544,T0,0
0.645896,C,0.562401,0.134509,T0,0
0.674460,A,0.317691,0.247758,T0,0
0.232941,A,0.703866,0.825643,T0,1
0.969665,B,0.214203,0.383633,T0,0
0.331096,C,0.632826,0.321742,T0,0
0.019020,A,0.997025,0.472985,T0,0
0.478307,C,0.531294,0.003167,T0,0
0.391406,B,0.175230,0.912545,T0,0
0.592609,B,0.714505,0.959851,T0,0
0.076569,B,0.320737,0.888297,T0,0
0.231121,B,0.261206,0.815072,T0,0
0.712536,A,0.365175,0.232569,T0,0
0.258306,C,,0.160853,T0,0
0.482024,C,0.264782,0.740229,T0,0
0.214907,A,0.701777,0.715721,T0,1
0.052761,A,0.622924,0.058421,T0,1
0.813231,A,0.134696,0.484292,T0,0
0.814762,B,0.523943,0.691283,T0,0
0.174576,C,0.501686,0.432696,T0,0
0.409965,B,0.609135,0.970972,T0,0
0.395096,C,0.578672,0.830843,T0,0
0.814640,A,0.790146,0.410670,T0,0
0.666113,C,0.640283,0.431004,T0,0
0.678812,A,0.802128,0.917795,T0,0
0.142345,B,0.954546,0.037616,T0,0
0.288414,A,0.477488,0.484081,T0,1
0.366405,A,0.696585,0.102239,T0,1
0.825020,C,0.971248,0.488673,T0,0
0.248765,C,0.689046,0.129771,T0,0
0.988551,B,0.220492,0.472262,T0,0
0.447502,B,0.305480,0.842756,T0,0
0.077023,A,,0.826939,T0,1
0.442782,B,0.879577,0.080116,T0,0
0.905095,C,0.396279,0.408138,T0,0
0.111446,C,0.886567,0.709488,T0,0
0.706107,B,0.741745,0.365946,T0,0
0.447245,C,,0.543791,T0,0
0.779097,C,0.368863,0.699501,T0,0
0.487615,C,0.873290,0.694403,T0,0
0.049964,C,0.762341,0.345544,T0,0
0.104869,B,0.332616,0.711537,T0,0
0.692667,C,0.713074,0.882493,T0,0
0.726710,B,0.608862,0.236793,T0,0
0.566525,C,0.997576,0.266921,T0,0
0.028491,A,0.232326,0.588912,T0,1
0.732100,A,0.581681,0.333200,T0,0
0.930790,A,0.286589,0.959325,T0,0
0.608284,A,0.417495,0.123580,T0,0
0.801930,C,0.989042,0.636785,T0,0
0.578070,A,0.886908,0.658387,T0,0
0.824852,A,0.471486,0.869657,T0,0
0.273673,C,0.302245,0.199343,T0,0
0.345320,A,0.477048,0.343299,T0,1
0.123087,C,0.339719,0.924775,T0,0
0.123922,B,0.622882,0.922408,T0,0
0.730934,B,0.531399,0.957564,T0,0
0.636978,B,0.667823,0.975342,T0,0
0.391965,A,0.209597,0.860754,T0,1
0.311687,B,0.113680,0.771002,T0,0
0.168814,A,0.570639,0.981809,T0,1
0.217722,C,0.428182,0.742609,T0,0
0.453699,C,0.931333,0.396823,T0,0
0.429007,A,0.917848,0.503348,T0,0
0.107076,A,0.617471,0.247200,T0,1
0.421359,C,0.875163,0.899051,T0,0
0.478155,C,0.643047,0.240302,T0,0
0.561252,B,0.890149,0.978586,T0,0
0.193616,C,0.768155,0.149324,T0,0
0.034839,C,0.563058,0.816014,T0,0
0.222271,A,0.169497,0.836860,T0,1
0.375101,C,0.129893,0.350085,T0,0
0.848442,C,0.343024,0.465069,T0,0
0.735524,C,0.158711,0.545663,T0,0
0.257251,C,0.103779,0.767658,T0,0
0.684607,B,0.588228,0.685225,T0,0
0.943386,A,0.121877,0.169756,T0,0
0.664889,A,0.516610,0.078770,T0,0
0.146221,A,0.251006,0.943456,T0,1
0.600909,C,0.557465,0.338282,T0,0
0.975861,B,0.058162,0.279588,T0,0
0.643807,C,0.114249,0.619937,T0,0
0.168665,A,0.532887,0.392886,T0,1
0.552239,A,0.985079,0.183007,T0,0
0.366141,A,,0.691275,T0,0
0.966485,A,0.550225,0.273743,T0,0
0.232166,B,0.778930,0.115853,T0,0
0.641263,C,0.447943,0.438823,T0,0
0.941593,C,,0.478023,T0,0
0.698180,A,0.920296,0.934897,T0,0
0.487734,B,0.958517,0.008009,T0,0
0.163544,B,0.760056,0.332834,T0,0
0.761761,A,0.491847,0.723725,T0,0
0.674811,C,0.654367,0.985171,T0,0
0.221091,C,0.710212,0.912707,T0,0
0.245866,C,,0.835049,T0,0
0.766848,C,0.298307,0.723606,T0,0
0.545433,A,0.747642,0.614264,T0,0
0.924273,C,0.390904,0.248487,T0,0
0.896991,C,0.707329,0.882771,T0,0
0.683797,B,0.848050,0.530654,T0,0
0.539576,C,0.763779,0.137585,T0,0
0.574451,B,0.306148,0.998827,T0,0
0.292137,B,0.390829,0.352770,T0,0
0.608465,C,0.826975,0.130601,T0,0
0.794715,C,0.881145,0.732899,T0,0
0.396777,C,0.090612,0.914312,T0,0
0.668560,B,0.950363,0.989739,T0,0
0.661479,B,0.734457,0.308197,T0,0
0.114653,B,0.416750,0.776135,T0,0
0.222770,C,,0.540375,T0,0
0.774180,A,0.486266,0.249747,T0,0
0.559435,C,0.390109,0.006306,T0,0
0.104564,B,0.978486,0.667918,T0,0
0.559751,A,0.810559,0.677863,T0,0
0.667766,C,0.987852,0.995794,T0,0
0.670241,B,0.360266,0.460694,T0,0
0.600257,C,0.083770,0.747926,T0,0
0.235246,C,0.129955,0.842599,T0,0
0.247576,A,0.298659,0.110677,T0,1
0.461465,B,0.218633,0.674451,T0,0
0.653174,C,0.421026,0.169963,T0,0
0.081858,B,0.248532,0.766993,T0,0
0.101397,C,0.947488,0.727779,T0,0
0.466432,A,0.102836,0.363086,T0,1
0.634621,C,0.917371,0.868044,T0,0
0.375987,C,0.551492,0.985977,T0,0
0.832730,C,0.727649,0.434314,T0,0
0.408919,A,0.820382,0.037573,T0,0
0.329259,A,0.417061,0.151945,T0,1
0.217899,A,0.857088,0.702411,T0,0
0.986566,A,0.285309,0.014912,T0,0
0.239728,A,0.784987,0.666397,T0,1
0.315597,B,,0.591476,T0,0
0.837250,C,0.016314,0.586611,T0,0
0.412798,A,0.480286,0.125048,T0,1
0.841059,A,0.602047,0.795537,T0,0
0.319049,B,0.807117,0.627863,T0,0
0.352093,C,0.721375,0.313196,T0,0
0.313343,A,0.159073,0.302163,T0,1
0.386296,B,0.302647,0.663175,T0,0
0.779604,B,0.088608,0.545113,T0,0
0.375052,A,0.619360,0.326852,T0,1
0.942098,A,0.533227,0.400941,T0,0
0.300200,C,0.933008,0.777738,T0,0
0.100564,A,0.943856,0.464654,T0,0
0.811352,B,0.792861,0.139891,T0,0
0.574808,C,0.706025,0.434008,T0,0
0.997386,A,0.025183,0.363281,T0,0
0.291995,B,,0.494196,T0,0
0.232024,B,0.446887,0.321983,T0,0
0.820922,B,0.982633,0.663555,T0,0
0.427333,A,0.188171,0.985142,T0,1
0.438591,A,0.308429,0.254826,T0,1
0.774801,B,0.005819,0.056597,T0,0
0.353909,A,0.953978,0.269517,T0,0
0.307676,A,0.135390,0.709552,T0,1
0.470571,B,,0.810309,T0,0
0.453755,C,0.062362,0.600772,T0,0
0.373158,A,0.476538,0.000230,T0,1
0.316880,B,0.616796,0.084146,T0,0
0.192919,C,0.889813,0.226631,T0,0
0.017476,C,0.851658,0.822407,T0,0
0.926104,C,0.370337,0.018059,T0,0
0.904317,C,0.111595,0.202958,T0,0
0.365841,C,0.614589,0.930945,T0,0
0.171431,A,0.897755,0.766616,T0,0
0.996097,A,0.263221,0.924890,T0,0
0.870507,A,0.844645,0.415279,T0,0
0.956917,C,0.131786,0.178610,T0,0
0.003350,C,0.258745,0.998185,T0,0
0.105326,B,0.069961,0.750465,T0,0
0.417890,C,0.898864,0.743522,T0,0
0.178825,B,0.716793,0.518889,T0,0
0.610337,B,0.767034,0.005969,T0,0
0.348329,B,0.245833,0.388680,T0,0
0.466577,B,0.576970,0.574144,T0,0
0.239732,B,0.483368,0.143072,T0,0
0.830424,C,0.894544,0.344429,T0,0
0.349194,A,0.488540,0.119382,T0,1
0.895308,B,0.760912,0.686771,T0,0
0.962484,C,0.388573,0.104375,T0,0
0.749310,B,0.292807,0.085168,T0,0
0.311721,B,0.174365,0.594207,T0,0
0.000540,C,0.679110,0.284378,T0,0
0.120079,B,0.498089,0.192296,T0,0
0.823773,C,,0.707882,T0,0
0.946031,C,0.660709,0.813348,T0,0
0.153979,B,,0.466896,T0,0
0.047588,C,0.719088,0.160856,T0,0
0.967151,B,0.084224,0.402556,T0,0
0.277612,A,0.660077,0.400004,T0,1
0.536497,A,0.894329,0.571740,T0,0
0.579205,A,0.540191,0.499380,T0,0
0.183633,A,0.652978,0.967460,T0,1
0.522203,A,0.495365,0.249541,T0,0
0.698529,B,0.546735,0.978993,T0,0
0.035001,B,0.259569,0.118003,T0,0
0.584156,C,0.509128,0.901901,T0,0
0.490738,C,0.914207,0.339393,T0,0
0.131077,C,0.990110,0.620039,T0,0
0.862127,C,0.378890,0.139491,T0,0
0.766290,C,,0.872540,T0,0
0.492001,C,0.335014,0.745792,T0,0
0.575657,C,0.310840,0.046227,T0,0
0.807172,B,0.521406,0.634887,T0,0
0.341470,A,0.775375,0.413942,T0,1
0.993512,A,0.840204,0.321371,T0,0
0.347393,C,0.916985,0.024054,T0,0
0.459617,B,0.835246,0.981050,T0,0
0.229495,B,0.349824,0.940817,T0,0
0.117323,B,0.115064,0.101035,T0,0
0.873596,C,0.345266,0.205133,T0,0
0.930738,A,,0.812647,T0,0
0.177431,A,0.540622,0.559593,T0,1
0.394296,C,0.547254,0.017254,T0,0
0.140136,A,0.579975,0.665737,T0,1
0.166755,C,0.456767,0.777243,T0,0
0.671574,C,0.635112,0.364073,T0,0
0.577356,A,0.366589,0.455482,T0,0
