VAR1,VAR2,VAR3,VAR4,VAR5,TRAITEMENT,CIBLE
0.551351,A,0.191353,0.783261,0.967810,T0,0
0.534225,A,0.320343,0.742697,0.646367,T0,0
0.381508,B,0.118186,0.906583,0.429990,T0,0
0.684818,C,0.036974,0.359994,0.428603,T0,0
0.699459,A,0.478277,0.966255,0.359158,T0,0
0.751794,B,,0.140294,0.115553,T0,0
0.229947,B,0.604560,0.959138,0.687756,T0,0
0.458858,C,0.719939,0.736922,0.982366,T0,0
0.681668,A,0.063206,0.043795,0.503762,T0,0
0.713500,B,0.161171,0.603285,0.460160,T0,0
0.116818,C,0.128166,0.121195,0.597190,T0,0
0.370467,B,0.821257,0.803898,0.610107,T0,0
0.930142,C,0.097804,0.392235,0.787680,T0,0
0.815147,B,0.629645,0.226017,0.009531,T0,0
0.712156,C,0.156952,0.061940,0.769838,T0,0
0.216465,A,0.876414,0.427766,0.718505,T0,0
0.510593,B,0.677783,0.469288,0.331035,T0,0
0.581920,B,0.950357,0.924004,0.823065,T0,0
0.147694,A,0.275775,0.700992,0.774967,T0,0
0.651891,A,0.861156,0.144056,0.281139,T0,0
0.328823,A,0.596520,0.727338,0.228086,T0,1
0.696344,A,,0.511896,0.514317,T0,0
0.069123,C,0.779371,0.469296,0.249034,T0,0
0.786044,A,0.543672,0.664273,0.591214,T0,0
0.003005,B,0.195777,0.931618,0.269585,T0,0
0.054828,C,0.387266,0.967128,0.620136,T0,0
0.297869,B,0.052237,0.508768,0.374152,T0,0
0.971254,B,0.585807,0.802110,0.585018,T0,0
0.206102,C,0.511566,0.228800,0.967451,T0,0
0.320960,C,0.340128,0.494244,0.008991,T0,0
0.239001,C,0.106389,0.973560,0.730728,T0,0
0.186769,B,0.739912,0.923449,0.609605,T0,0
0.355542,C,0.956992,0.479630,0.662872,T0,0
0.984349,B,0.558448,0.134488,0.205919,T0,0
0.558387,B,0.797635,0.040324,0.892568,T0,0
0.225643,C,0.133217,0.930975,0.052226,T0,0
0.742236,C,0.866668,0.878007,0.392328,T0,0
0.196690,B,0.134162,0.825681,0.766731,T0,0
0.068974,C,,0.330305,0.181466,T0,0
0.289480,C,0.981256,0.632515,0.107499,T0,0
0.132458,C,0.792484,0.445624,0.750369,T0,0
0.117016,A,0.084993,0.075307,0.825576,T0,0
0.514361,A,0.105638,0.923363,0.588383,T0,0
0.536291,A,0.145093,0.854265,0.849173,T0,0
0.400964,A,0.736826,0.330523,0.533651,T0,1
0.199699,B,0.372730,0.118124,0.152559,T0,0
0.642949,A,,0.015096,0.052729,T0,0
0.843493,A,0.267203,0.116902,0.648918,T0,0
0.833995,A,,0.756374,0.055309,T0,0
0.646088,C,0.414139,0.011943,0.680902,T0,0
0.480603,A,0.853107,0.713372,0.695243,T0,0
0.910522,C,0.301447,0.806869,0.114495,T0,0
0.756305,C,0.123331,0.824829,0.623084,T0,0
0.270654,A,0.302364,0.163842,0.939472,T0,0
0.227397,A,,0.762936,0.321955,T0,1
0.697834,A,0.781345,0.415364,0.262486,T0,0
0.054072,C,0.040829,0.579556,0.149812,T0,0
0.411201,B,0.951172,0.644346,0.600439,T0,0
0.730812,A,0.677337,0.480427,0.943849,T0,0
0.308428,A,0.285905,0.004378,0.991091,T0,0
0.568057,A,,0.950204,0.486614,T0,0
0.547546,B,0.674419,0.433698,0.631324,T0,0
0.045596,C,0.176355,0.633762,0.692611,T0,0
0.490963,A,0.269369,0.989775,0.750123,T0,0
0.316277,B,0.956300,0.380212,0.792688,T0,0
0.282682,A,0.571144,0.735678,0.492398,T0,1
0.086532,A,0.452370,0.718611,0.406338,T0,1
0.710281,B,,0.385165,0.183237,T0,0
0.011278,B,0.043195,0.290963,0.405033,T0,0
0.586573,C,0.750662,0.043778,0.804478,T0,0
0.415832,A,0.310289,0.894554,0.709229,T0,0
0.065047,B,0.450477,0.329590,0.318992,T0,0
0.335350,A,0.383982,0.536486,0.573469,T0,1
0.767746,C,0.268514,0.857238,0.320190,T0,0
0.319725,C,0.537617,0.723105,0.724283,T0,0
0.805444,C,0.236236,0.238713,0.357118,T0,0
0.256168,C,0.845030,0.239406,0.154819,T0,0
0.442319,C,0.071020,0.506075,0.357028,T0,0
0.407297,B,0.851108,0.160437,0.781213,T0,0
0.549530,C,0.397807,0.507771,0.025912,T0,0
0.353834,B,0.343285,0.560870,0.313701,T0,0
0.089829,C,0.927223,0.346875,0.859999,T0,0
0.753532,C,0.769424,0.842279,0.682005,T0,0
0.949767,B,0.248763,0.957106,0.020499,T0,0
0.407890,C,0.192530,0.922847,0.091665,T0,0
0.981777,B,0.083088,0.389450,0.441954,T0,0
0.747525,A,0.405512,0.939590,0.107910,T0,0
0.929054,B,0.765043,0.620089,0.860153,T0,0
0.353908,A,0.085657,0.224303,0.303055,T0,1
0.600165,C,0.944015,0.447937,0.045890,T0,0
0.165704,A,,0.937303,0.405634,T0,1
0.479002,A,0.705915,0.843023,0.615851,T0,1
0.192902,A,0.477915,0.387670,0.178969,T0,1
0.456710,B,0.345440,0.442313,0.991058,T0,0
0.510763,B,0.965363,0.372911,0.826496,T0,0
0.242520,B,0.360552,0.386873,0.311496,T0,0
0.033008,A,0.370249,0.909702,0.788504,T0,0
0.668631,A,0.455673,0.018866,0.865713,T0,0
0.990083,A,0.586176,0.804832,0.349158,T0,0
0.088697,A,,0.179502,0.399044,T0,1
0.138116,B,,0.583827,0.476362,T0,0
0.276985,C,0.293586,0.223915,0.487187,T0,0
0.905233,A,0.597477,0.002725,0.879288,T0,0
0.509771,A,0.649200,0.265335,0.283087,T0,0
0.016297,C,,0.588952,0.494240,T0,0
0.306088,C,0.659839,0.913027,0.313018,T0,0
0.925384,A,0.148470,0.367750,0.038430,T0,0
0.296949,A,0.075439,0.082975,0.981361,T0,0
0.079785,A,0.184891,0.918203,0.020210,T0,1
0.273645,B,0.954746,0.453109,0.836003,T0,0
0.450341,C,0.672841,0.748059,0.314195,T0,0
0.982334,C,0.695500,0.126472,0.620289,T0,0
0.441454,A,0.518391,0.209434,0.729173,T0,0
0.855041,A,0.123319,0.437507,0.065667,T0,0
0.127532,B,0.758083,0.326639,0.283096,T0,0
0.683780,B,0.480569,0.175994,0.481125,T0,0
0.734055,B,0.786663,0.248983,0.163138,T0,0
0.461503,C,0.802605,0.554263,0.073422,T0,0
0.832111,B,0.480180,0.201103,0.616667,T0,0
0.895200,B,0.854476,0.918190,0.810495,T0,0
0.395819,B,0.316282,0.681049,0.256863,T0,0
0.440515,C,0.168248,0.545583,0.264293,T0,0
0.598967,A,0.901208,0.985975,0.947725,T0,0
0.884458,C,0.884890,0.585702,0.092624,T0,0
0.522914,A,0.270168,0.357605,0.049959,T0,0
0.373156,A,0.875354,0.972594,0.792789,T0,0
0.805669,A,0.350088,0.079342,0.047523,T0,0
0.961845,A,0.335986,0.803009,0.653638,T0,0
0.286438,A,0.211751,0.073121,0.145256,T0,1
0.031426,B,,0.413399,0.149362,T0,0
0.372296,B,0.051556,0.896756,0.207799,T0,0
0.352360,B,0.630846,0.660004,0.211391,T0,0
0.660880,C,0.575035,0.294016,0.020884,T0,0
0.770559,A,0.294920,0.695904,0.849677,T0,0
0.647170,B,0.504020,0.152131,0.285155,T0,0
0.870675,C,0.912699,0.274173,0.178756,T0,0
0.832080,A,0.730636,0.938106,0.030942,T0,0
0.458378,A,0.536485,0.691131,0.930957,T0,0
0.013995,A,0.927554,0.934132,0.036206,T0,0
0.650940,C,0.231469,0.864811,0.991447,T0,0
0.385233,B,0.090240,0.369152,0.427372,T0,0
0.491950,C,0.766540,0.936313,0.890718,T0,0
0.468522,B,0.031496,0.401713,0.168368,T0,0
0.933839,B,0.801710,0.918895,0.962711,T0,0
0.199482,A,0.784315,0.186303,0.668608,T0,1
0.446428,C,0.688426,0.683486,0.688835,T0,0
0.405892,A,0.629089,0.236424,0.586477,T0,1
0.168675,A,0.179824,0.530714,0.693009,T0,1
0.853238,C,0.455885,0.966700,0.891715,T0,0
0.043668,C,0.088694,0.056604,0.639557,T0,0
0.792826,B,0.517060,0.466963,0.167742,T0,0
0.870097,B,0.510979,0.208254,0.093470,T0,0
0.482131,C,0.932747,0.456717,0.664428,T0,0
0.905605,C,0.282939,0.601719,0.199540,T0,0
0.091378,A,0.378511,0.323358,0.600053,T0,1
0.180375,C,0.957710,0.236494,0.390977,T0,0
0.744559,C,0.273713,0.639982,0.118195,T0,0
0.727363,A,0.486629,0.932354,0.665038,T0,0
0.600190,B,0.109603,0.863619,0.574889,T0,0
0.763609,A,0.599992,0.833871,0.051875,T0,0
0.213257,B,0.213817,0.733586,0.664944,T0,0
0.278588,A,0.230619,0.905658,0.609733,T0,1
0.662426,B,0.136282,0.005598,0.622365,T0,0
0.484832,B,0.317070,0.862175,0.319379,T0,0
0.638752,B,0.074147,0.622124,0.714066,T0,0
0.311501,C,0.979736,0.324948,0.097223,T0,0
0.897006,B,0.835021,0.254653,0.897507,T0,0
0.980430,C,0.888776,0.514199,0.609810,T0,0
0.911445,A,0.452494,0.048317,0.928858,T0,0
0.236140,C,0.227754,0.010572,0.935467,T0,0
0.184921,C,0.591900,0.780174,0.690330,T0,0
0.318632,B,0.294802,0.338632,0.263854,T0,0
0.294927,A,0.422543,0.053140,0.511357,T0,1
0.815731,B,0.712131,0.498092,0.098576,T0,0
0.350513,B,0.442056,0.505821,0.457427,T0,0
0.575060,B,0.946118,0.023460,0.667440,T0,0
0.965434,A,0.213047,0.823377,0.748949,T0,0
0.448955,B,0.761080,0.947988,0.708935,T0,0
0.564171,B,0.069103,0.829084,0.663963,T0,0
0.909622,C,0.143679,0.825466,0.373596,T0,0
0.728674,A,0.046465,0.145064,0.872809,T0,0
0.462487,A,,0.907425,0.431643,T0,1
0.817736,A,0.761201,0.639799,0.042345,T0,0
0.906696,B,0.320562,0.998409,0.924620,T0,0
0.739581,A,0.755913,0.885151,0.510115,T0,0
0.067331,C,0.582519,0.905314,0.102476,T0,0
0.353694,A,0.727068,0.291376,0.386935,T0,1
0.845898,B,0.627602,0.472915,0.375323,T0,0
0.780897,C,0.856070,0.240615,0.883378,T0,0
0.584927,B,0.737973,0.421792,0.424602,T0,0
0.154589,C,0.097990,0.202516,0.942178,T0,0
0.691036,C,0.520069,0.762147,0.302430,T0,0
0.995076,C,0.731174,0.610447,0.170592,T0,0
0.439211,A,0.956232,0.200103,0.157752,T0,0
0.431241,C,0.994682,0.522132,0.444953,T0,0
0.036987,B,0.163574,0.380013,0.445280,T0,0
0.901309,A,0.673909,0.442384,0.393117,T0,0
0.302187,C,0.235187,0.667528,0.606344,T0,0
0.580775,C,,0.231457,0.921852,T0,0
0.367564,A,0.466789,0.295193,0.654242,T0,1
0.519105,C,0.674993,0.510910,0.316596,T0,0
0.643011,A,0.482228,0.804193,0.583369,T0,0
0.952538,C,,0.727868,0.037183,T0,0
0.306819,B,0.544783,0.843953,0.467808,T0,0
0.256797,A,0.255701,0.540634,0.475541,T0,1
0.650875,A,0.583823,0.013094,0.368595,T0,0
0.592598,C,0.473025,0.992169,0.470748,T0,0
0.155334,B,0.571308,0.632736,0.303861,T0,0
0.785833,C,0.482748,0.650008,0.365776,T0,0
0.919214,A,0.332977,0.493868,0.099709,T0,0
0.700314,A,0.625319,0.663290,0.882071,T0,0
0.015284,C,0.460907,0.227685,0.765992,T0,0
0.536817,A,0.224057,0.551638,0.399878,T0,0
0.321894,A,0.212010,0.757994,0.984998,T0,0
0.665444,B,0.234915,0.445613,0.991707,T0,0
0.307928,B,0.314633,0.386250,0.249379,T0,0
0.350784,A,0.901556,0.363762,0.520115,T0,0
0.236744,A,0.834936,0.935557,0.049532,T0,0
0.943210,A,,0.673885,0.658333,T0,0
0.714725,A,0.795095,0.294734,0.836940,T0,0
0.444234,B,0.470971,0.643939,0.671985,T0,0
0.111207,A,0.575349,0.312193,0.810477,T0,0
0.968379,A,,0.690608,0.828650,T0,0
0.872841,C,0.021967,0.647020,0.412218,T0,0
0.080487,C,0.639413,0.332720,0.137527,T0,0
0.795263,C,0.512769,0.527818,0.633520,T0,0
0.843665,B,,0.338516,0.667573,T0,0
0.090110,A,0.991819,0.011985,0.900141,T0,0
0.812587,B,0.630232,0.793382,0.193649,T0,0
0.103937,A,0.707643,0.530753,0.115591,T0,1
0.491625,A,0.565723,0.297452,0.687669,T0,1
0.012039,A,,0.359001,0.787533,T0,0
0.214993,A,0.356066,0.437400,0.160627,T0,1
0.747120,B,0.922738,0.450001,0.618533,T0,0
0.251060,C,0.017762,0.994075,0.609417,T0,0
0.070798,C,0.228211,0.345283,0.718133,T0,0
0.296197,A,0.884830,0.448646,0.032666,T0,0
0.021800,B,0.607838,0.417390,0.612271,T0,0
0.727355,B,,0.039464,0.958586,T0,0
0.691868,C,0.268660,0.782672,0.868818,T0,0
0.031663,B,0.117303,0.105358,0.030943,T0,0
0.062182,A,0.802598,0.207463,0.582827,T0,0
0.367072,C,0.997449,0.095167,0.710150,T0,0
0.853870,C,0.291811,0.210629,0.990293,T0,0
0.903476,A,,0.680511,0.146196,T0,0
0.567457,A,0.473171,0.584147,0.081185,T0,0
0.137181,C,,0.740499,0.798888,T0,0
0.955182,A,0.814041,0.095938,0.523742,T0,0
0.533229,C,0.805716,0.320054,0.944527,T0,0
0.576624,C,0.729296,0.846263,0.757419,T0,0
0.325588,B,0.259209,0.970002,0.120210,T0,0
0.282061,C,0.675232,0.854553,0.156849,T0,0
0.403832,B,,0.021491,0.296427,T0,0
0.615112,B,0.793866,0.128603,0.137175,T0,0
0.541053,C,,0.097044,0.869326,T0,0
0.954522,A,0.363423,0.164638,0.536700,T0,0
0.517884,B,0.890966,0.637818,0.181957,T0,0
0.269754,B,0.113650,0.958898,0.406119,T0,0
0.657343,B,0.218809,0.516615,0.821282,T0,0
0.317999,B,0.079727,0.115482,0.965142,T0,0
0.107140,A,0.845806,0.718934,0.422171,T0,0
0.445719,B,0.390289,0.101356,0.843011,T0,0
0.531588,A,0.906027,0.061021,0.620532,T0,0
0.311144,C,0.822666,0.736745,0.713171,T0,0
0.841728,C,0.132916,0.072762,0.679041,T0,0
0.698677,A,0.939477,0.719519,0.857396,T0,0
0.501398,C,0.600254,0.657126,0.128452,T0,0
0.698640,A,0.651228,0.271128,0.770490,T0,0
0.416703,B,0.656977,0.628764,0.608134,T0,0
0.215883,C,0.708052,0.939464,0.423377,T0,0
0.946940,A,0.311796,0.010117,0.641622,T0,0
0.953462,C,0.798308,0.994486,0.283124,T0,0
0.422058,C,0.914281,0.163765,0.388750,T0,0
0.424625,C,0.911543,0.091726,0.516619,T0,0
0.476112,B,0.309568,0.128794,0.545350,T0,0
0.642998,B,0.093752,0.450841,0.105166,T0,0
0.342130,B,0.129299,0.841000,0.106339,T0,0
0.870270,C,0.477042,0.898870,0.377894,T0,0
0.540670,C,,0.653861,0.388959,T0,0
0.705818,B,0.611175,0.734778,0.314875,T0,0
0.160290,A,0.203295,0.782787,0.658876,T0,1
0.658358,A,0.117066,0.221524,0.959343,T0,0
0.168822,B,0.541796,0.256962,0.046236,T0,0
0.867416,B,0.073833,0.202525,0.277093,T0,0
0.578945,A,,0.583134,0.422797,T0,0
0.671745,C,,0.041591,0.682380,T0,0
0.177588,B,0.221785,0.748879,0.515637,T0,0
0.864979,B,0.690394,0.933108,0.656986,T0,0
0.719957,C,,0.113171,0.074426,T0,0
0.728738,C,0.151993,0.087401,0.886114,T0,0
0.552193,A,,0.547515,0.700722,T0,0
0.373188,B,0.338518,0.585427,0.413183,T0,0
0.901601,C,0.513303,0.941110,0.488474,T0,0
0.053768,A,0.831824,0.851581,0.141901,T0,0
0.914530,B,0.561610,0.097787,0.628340,T0,0
0.132133,C,0.512575,0.772506,0.528207,T0,0
0.610441,A,0.149767,0.933760,0.956622,T0,0
0.551305,B,0.563235,0.969229,0.694816,T0,0
0.512559,A,0.344004,0.373067,0.691818,T0,0
0.348128,A,0.221401,0.459412,0.651931,T0,1
0.211888,A,0.751826,0.801945,0.688574,T0,1
0.477532,B,0.061005,0.296236,0.051651,T0,0
0.141286,C,0.031991,0.144336,0.262653,T0,0
0.471047,A,0.770489,0.376444,0.554459,T0,1
0.724092,C,0.029358,0.565038,0.953737,T0,0
0.548155,C,0.806455,0.905229,0.372864,T0,0
0.179650,C,0.482182,0.554321,0.888181,T0,0
0.425829,C,0.545037,0.501917,0.570808,T0,0
0.886531,A,0.130483,0.456543,0.728692,T0,0
0.951698,B,0.744771,0.100515,0.806631,T0,0
0.912220,A,0.508218,0.505071,0.955195,T0,0
0.646319,A,0.522886,0.749639,0.061192,T0,0
0.778880,A,0.164306,0.471662,0.920397,T0,0
0.392045,C,0.974735,0.589069,0.140360,T0,0
0.773321,B,0.181126,0.190315,0.547149,T0,0
0.352969,A,0.668321,0.961839,0.175563,T0,1
0.548862,B,,0.762166,0.071083,T0,0
0.470876,C,0.463459,0.898730,0.796294,T0,0
0.505866,C,0.830748,0.990460,0.647699,T0,0
0.897481,C,0.844428,0.449679,0.295091,T0,0
0.154547,C,0.928510,0.255319,0.441285,T0,0
0.234783,B,0.453568,0.097472,0.497866,T0,0
0.616577,B,0.361406,0.752618,0.805007,T0,0
0.948995,B,0.825567,0.664531,0.460517,T0,0
0.443344,B,0.814053,0.667438,0.874746,T0,0
0.428241,B,0.760408,0.584580,0.827091,T0,0
0.937459,B,0.207465,0.502801,0.126160,T0,0
0.312455,C,0.157275,0.788287,0.628993,T0,0
0.138806,C,0.998922,0.763789,0.545770,T0,0
0.280987,B,0.645451,0.632712,0.345093,T0,0
0.865262,C,0.327951,0.282685,0.092844,T0,0
0.470110,A,0.691075,0.230748,0.447283,T0,1
0.441977,C,0.005441,0.911553,0.711632,T0,0
0.849549,A,0.367310,0.945325,0.318221,T0,0
0.877090,A,0.211963,0.965621,0.552451,T0,0
0.848125,C,0.722011,0.147842,0.648553,T0,0
0.512257,A,0.106623,0.299399,0.349022,T0,0
0.875131,C,,0.364309,0.639828,T0,0
0.432761,B,0.024896,0.277785,0.198252,T0,0
0.042497,A,0.116530,0.423208,0.002518,T0,1
0.007724,A,0.964559,0.986879,0.510182,T0,0
0.279775,B,0.520165,0.476302,0.969426,T0,0
0.685178,B,0.830929,0.536810,0.782990,T0,0
0.705214,B,0.648837,0.277700,0.482096,T0,0
0.368222,C,0.234464,0.074282,0.589630,T0,0
0.757901,A,0.661472,0.379585,0.781437,T0,0
0.911791,B,,0.328581,0.982040,T0,0
0.454567,C,,0.356122,0.624132,T0,0
0.790941,B,0.637280,0.575294,0.516014,T0,0
0.026843,C,0.279463,0.488135,0.505190,T0,0
0.249467,C,0.846807,0.879690,0.306232,T0,0
0.463590,C,0.124823,0.199438,0.965549,T0,0
0.840740,A,0.099863,0.695161,0.082366,T0,0
0.076086,B,0.552793,0.162207,0.380070,T0,0
0.261188,A,0.123016,0.734251,0.103716,T0,1
0.746746,A,0.608977,0.609268,0.770413,T0,0
